ts,shot,kind,status,credits,id,url,local,error
2026-09-23 13:34:57,S09,video,completed,80,,,,"{""trace_id"": ""e43c5576-dc56-494e-bc1f-3fa71d123eb8"", ""status"": ""completed"", ""items"": [{""video_id"": 426119379561012, ""status"": ""completed"", ""video_url"": ""https://media.pixverse.ai/pixverse%2Fmp4%2Fmedi"
2026-09-23 13:35:48,S10,video,completed,100,,,,"{""trace_id"": ""b539567a-776a-4b22-ba62-652e636610ee"", ""status"": ""completed"", ""items"": [{""video_id"": 426119472508341, ""status"": ""completed"", ""video_url"": ""https://media.pixverse.ai/pixverse%2Fmp4%2Fmedi"
2026-09-23 13:36:23,S01,video,error,,,,,"{""status"": ""error"", ""error"": ""{\n  \""error\"": \""Request failed with status code 400 Bad Request: POST https://app-api.pixverse.ai/creative_platform/video/i2v\""\n}\n""}"
2026-09-23 13:36:27,S02,video,error,,,,,"{""status"": ""error"", ""error"": ""{\n  \""error\"": \""Request failed with status code 400 Bad Request: POST https://app-api.pixverse.ai/creative_platform/video/i2v\""\n}\n""}"
2026-09-23 13:36:29,S03,video,error,,,,,"{""status"": ""error"", ""error"": ""{\n  \""error\"": \""Request failed with status code 400 Bad Request: POST https://app-api.pixverse.ai/creative_platform/video/i2v\""\n}\n""}"
2026-09-23 13:36:32,S04,video,error,,,,,"{""status"": ""error"", ""error"": ""{\n  \""error\"": \""Request failed with status code 400 Bad Request: POST https://app-api.pixverse.ai/creative_platform/video/i2v\""\n}\n""}"
2026-09-23 13:36:35,S05,video,error,,,,,"{""status"": ""error"", ""error"": ""{\n  \""error\"": \""Request failed with status code 400 Bad Request: POST https://app-api.pixverse.ai/creative_platform/video/i2v\""\n}\n""}"
2026-09-23 13:36:39,S06,video,error,,,,,"{""status"": ""error"", ""error"": ""{\n  \""error\"": \""Request failed with status code 400 Bad Request: POST https://app-api.pixverse.ai/creative_platform/video/i2v\""\n}\n""}"
2026-09-23 13:36:42,S07,video,error,,,,,"{""status"": ""error"", ""error"": ""{\n  \""error\"": \""Request failed with status code 400 Bad Request: POST https://app-api.pixverse.ai/creative_platform/video/i2v\""\n}\n""}"
2026-09-23 13:36:45,S08,video,error,,,,,"{""status"": ""error"", ""error"": ""{\n  \""error\"": \""Request failed with status code 400 Bad Request: POST https://app-api.pixverse.ai/creative_platform/video/i2v\""\n}\n""}"
2026-09-23 13:36:48,S09,video,error,,,,,"{""status"": ""error"", ""error"": ""{\n  \""error\"": \""Request failed with status code 400 Bad Request: POST https://app-api.pixverse.ai/creative_platform/video/i2v\""\n}\n""}"
2026-09-23 13:36:50,S10,video,error,,,,,"{""status"": ""error"", ""error"": ""{\n  \""error\"": \""Request failed with status code 400 Bad Request: POST https://app-api.pixverse.ai/creative_platform/video/i2v\""\n}\n""}"
