date,page,image_id,credits,notes
2026-09-22,page_01_primary_hero,425969488612411,0,anchor; gate PASS 9.5/10 all locks
2026-09-22,page_02_orthographic_turnaround,425969591512197,0,anchored-p1
2026-09-22,page_03_morphology_proportions_silhouette,425969641273347,0,anchored-p1
2026-09-22,page_04_expression_emotion_sheet,425969689719856,0,anchored-p1
2026-09-22,page_05_cranial_appendage_details,425969744347418,0,anchored-p1
2026-09-22,page_06_surface_treatment_construction,425969802978358,0,anchored-p1
2026-09-22,page_07_extremities_props_accessories,425969857992984,0,anchored-p1
2026-09-22,page_08_materials_color_rigging_motion,425969901495740,0,anchored-p1
